RecordID,MeasurementUnitID,CowKey,Branch,BranchValue,TrainingBackground,SHAPValue
MEAS_R000052,MEAS_UNIT_000052,C001,HierarchicalResidualPredicted,38.1749922577639,38.92277423766374,-0.4177029418181583
MEAS_R000052,MEAS_UNIT_000052,C001,SourceMemoryPredicted,38.0682002430293,38.92019929896373,-0.04368856157926337
MEAS_R000053,MEAS_UNIT_000053,C001,BatchSessionPredicted,38.2847177161695,38.9315971341168,-0.2692588362898385
MEAS_R000053,MEAS_UNIT_000053,C001,HierarchicalResidualPredicted,38.1796212806681,38.93603031743349,-0.45332978282561576
MEAS_R000053,MEAS_UNIT_000053,C001,SourceMemoryPredicted,38.3597440851279,38.93632230805884,0.0007365340157833338
MEAS_R000054,MEAS_UNIT_000054,C001,BatchSessionPredicted,38.2428955904676,38.91963385621659,-0.2593628889576662
MEAS_R000054,MEAS_UNIT_000054,C001,HierarchicalResidualPredicted,38.228605396639,38.921054421858756,-0.3245905319916048
MEAS_R000054,MEAS_UNIT_000054,C001,SourceMemoryPredicted,38.1799916250934,38.91331205663165,-0.127533590824044
MEAS_R000055,MEAS_UNIT_000055,C001,BatchSessionPredicted,38.2327854340993,38.90511905160711,-0.2132873791477338
MEAS_R000055,MEAS_UNIT_000055,C001,HierarchicalResidualPredicted,38.2059800540766,38.911342637284754,-0.4286335877155731
MEAS_R000055,MEAS_UNIT_000055,C001,SourceMemoryPredicted,38.239099469686,38.899685525987074,-0.07605499664303196
MEAS_R000056,MEAS_UNIT_000056,C001,BatchSessionPredicted,38.2023407689404,38.919374341900465,0.03875731840369403
MEAS_R000056,MEAS_UNIT_000056,C001,HierarchicalResidualPredicted,38.1886753824542,38.91719913820587,-0.8325514454939343
MEAS_R000056,MEAS_UNIT_000056,C001,SourceMemoryPredicted,38.1302086388033,38.91877341083054,0.05160781603756825
MEAS_R000057,MEAS_UNIT_000057,C001,BatchSessionPredicted,38.2747589142171,38.92454922151011,-0.08822678802734406
MEAS_R000057,MEAS_UNIT_000057,C001,HierarchicalResidualPredicted,38.3781165090979,38.91914496603078,-0.45499463631743564
MEAS_R000057,MEAS_UNIT_000057,C001,SourceMemoryPredicted,38.846603506382,38.92838345064699,-0.003453688228031858
MEAS_R000058,MEAS_UNIT_000058,C001,BatchSessionPredicted,38.2306030141982,38.90768839001661,0.09129345656918388
MEAS_R000058,MEAS_UNIT_000058,C001,HierarchicalResidualPredicted,38.2830328771657,38.905248207471395,-0.7490541019802714
MEAS_R000058,MEAS_UNIT_000058,C001,SourceMemoryPredicted,38.0100837384234,38.90590609403566,0.03146194987603375
MEAS_R000059,MEAS_UNIT_000059,C001,BatchSessionPredicted,38.3218672575278,38.9359144952343,-0.21846579422965792
MEAS_R000059,MEAS_UNIT_000059,C001,HierarchicalResidualPredicted,38.2735488816005,38.932575796117895,-0.40994680270657036
MEAS_R000059,MEAS_UNIT_000059,C001,SourceMemoryPredicted,38.1943658367359,38.94647468193295,-0.028719483519976902
MEAS_R000060,MEAS_UNIT_000060,C001,BatchSessionPredicted,38.2337176233173,38.928613198614045,-0.18617114221612494
MEAS_R000060,MEAS_UNIT_000060,C001,HierarchicalResidualPredicted,38.2137751087961,38.9235325259989,-0.5097296981634886
MEAS_R000060,MEAS_UNIT_000060,C001,SourceMemoryPredicted,38.0860535903824,38.92843408225918,-0.023697036007510237
MEAS_R000061,MEAS_UNIT_000061,C027,BatchSessionPredicted,38.9467698184437,38.928613198614045,0.0048643836176781976
MEAS_R000061,MEAS_UNIT_000061,C027,HierarchicalResidualPredicted,38.9540543436169,38.9235325259989,0.02191999196449368
MEAS_R000061,MEAS_UNIT_000061,C027,SourceMemoryPredicted,38.7119409604856,38.92843408225918,-0.006090175819025587
MEAS_R000062,MEAS_UNIT_000062,C027,BatchSessionPredicted,38.7869459399872,38.9359144952343,-0.05300004908231212
MEAS_R000062,MEAS_UNIT_000062,C027,HierarchicalResidualPredicted,38.9752943623005,38.932575796117895,0.026573026437915783
MEAS_R000062,MEAS_UNIT_000062,C027,SourceMemoryPredicted,38.7481074252678,38.94647468193295,-0.007574708361799983
MEAS_R000063,MEAS_UNIT_000063,C027,BatchSessionPredicted,39.2205080713179,38.917546296420596,0.06300486756402676
MEAS_R000063,MEAS_UNIT_000063,C027,HierarchicalResidualPredicted,40.0654000994729,38.913102133868996,0.9703175025570309
MEAS_R000063,MEAS_UNIT_000063,C027,SourceMemoryPredicted,39.2533941750508,38.922194363762976,-0.00815791043916557
MEAS_R000064,MEAS_UNIT_000064,C027,BatchSessionPredicted,39.0459040935767,38.91088053589295,0.023756573358694848
MEAS_R000064,MEAS_UNIT_000064,C027,HierarchicalResidualPredicted,38.6369187971031,38.90851605759101,-0.23432868757629202
MEAS_R000064,MEAS_UNIT_000064,C027,SourceMemoryPredicted,39.0878402899866,38.90793133003213,-0.005998658363004342
MEAS_R000065,MEAS_UNIT_000065,C027,BatchSessionPredicted,38.7751793585608,38.923435689968294,-0.05673404390854887
MEAS_R000065,MEAS_UNIT_000065,C027,HierarchicalResidualPredicted,38.6597835236894,38.91811283222445,-0.14089696670834834
