RecordID,CowKey,BaseValue,SHAPSum,ClipAdjustment,Predicted,SavedPredicted
MEAS_R000116,C023,38.92119047613949,0.07294997112975429,0.0,38.994140447269245,38.994140447269245
MEAS_R000117,C023,38.920347394886576,0.24931648549634156,7.105427357601002e-15,39.16966388038293,39.16966388038293
MEAS_R000118,C023,38.926817043320064,-0.12059163420164408,0.0,38.80622540911842,38.80622540911842
MEAS_R000119,C023,38.89858156098377,0.010052576460103747,-7.105427357601002e-15,38.90863413744387,38.90863413744387
MEAS_R000120,C023,38.91896955437967,0.02027721260215121,0.0,38.939246766981825,38.93924676698183
MEAS_R000121,C023,38.91235154376939,0.008874726239462956,-7.105427357601002e-15,38.921226270008844,38.921226270008844
MEAS_R000122,C023,38.88295165275932,0.04307092973491468,0.0,38.926022582494234,38.92602258249424
MEAS_R000123,C023,38.88295165275932,0.07008444659997755,0.0,38.953036099359295,38.953036099359295
MEAS_R000124,C023,38.90663615432866,0.012500950015979409,0.0,38.919137104344635,38.91913710434464
MEAS_R000125,C023,38.890214795702306,0.037026473389173274,0.0,38.92724126909148,38.92724126909148
MEAS_R000126,C023,38.92043795698664,0.3096727390270393,0.0,39.230110696013675,39.23011069601368
MEAS_R000127,C023,38.90954773814833,0.13775662743923317,7.105427357601002e-15,39.04730436558757,39.04730436558757
MEAS_R000128,C023,38.894266054817926,0.1901291190214512,0.0,39.084395173839376,39.084395173839376
MEAS_R000129,C023,38.904679802745385,0.22671217590273457,0.0,39.13139197864812,39.13139197864812
MEAS_R000130,C011,38.91896955437967,-0.6844691653999126,0.0,38.23450038897976,38.23450038897976
MEAS_R000131,C011,38.926817043320064,-0.8274084656134237,0.0,38.09940857770664,38.09940857770664
MEAS_R000132,C011,38.90954773814833,-0.7842357630421518,7.105427357601002e-15,38.125311975106186,38.125311975106186
MEAS_R000133,C011,38.926817043320064,-0.8460828776225557,0.0,38.08073416569751,38.08073416569751
MEAS_R000134,C011,38.91235154376939,-0.7896331174780296,0.0,38.12271842629136,38.12271842629136
MEAS_R000135,C011,38.91511627920176,-0.59109874135151,0.0,38.32401753785025,38.32401753785025
MEAS_R000136,C011,38.904679802745385,-0.7063227711645093,-7.105427357601002e-15,38.19835703158087,38.19835703158087
