TargetRowID,TechnicalBaselinePrediction_C,FullPipelinePrediction_C,OfficialOOFPrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,ConditionalVsOfficialDifference_C
86,38.1203183367492,38.68907333177586,38.68907333177586,38.68907333177589,3.5527136788005016e-14,0.0
87,38.5155284229641,38.8824102210488,38.8824102210488,38.8824102210488,0.0,0.0
88,38.444118327955,38.65883484320667,38.65883484320667,38.6588348432067,2.8421709430404014e-14,0.0
89,38.4731406140361,38.422021963000645,38.422021963000645,38.42202196300059,-5.684341886080803e-14,0.0
90,38.514809573428,38.31777963133626,38.31777963133626,38.3177796313363,4.263256414560601e-14,0.0
91,38.21320159437,38.47284873307486,38.47284873307486,38.472848733074905,4.263256414560601e-14,0.0
92,38.1938366130985,38.53649365696457,38.53649365696457,38.5364936569646,2.8421709430404014e-14,0.0
93,38.4495013602531,38.43270307893928,38.43270307893928,38.432703078939305,2.8421709430404014e-14,0.0
94,38.1929417947824,38.51755239491003,38.51755239491003,38.51755239491,-2.8421709430404014e-14,0.0
95,38.0682697308172,38.48604966164369,38.48604966164369,38.48604966164369,0.0,0.0
96,38.0919210905993,38.37264100492538,38.37264100492538,38.372641004925406,2.8421709430404014e-14,0.0
97,38.259553710428,38.349995945455774,38.349995945455774,38.34999594545579,1.4210854715202004e-14,0.0
98,38.0850557608941,38.60778592700649,38.60778592700649,38.6077859270065,1.4210854715202004e-14,0.0
99,38.4670745178324,38.428889802633776,38.428889802633776,38.428889802633805,2.8421709430404014e-14,0.0
100,38.5153661014819,38.44459143431168,38.44459143431168,38.4445914343117,1.4210854715202004e-14,0.0
101,38.166493058439,38.45424391259132,38.45424391259132,38.4542439125913,-2.131628207280301e-14,0.0
102,38.0984179062667,38.36318433144928,38.36318433144928,38.3631843314493,1.4210854715202004e-14,0.0
103,38.352301805939,38.33679545673239,38.33679545673239,38.3367954567324,7.105427357601002e-15,0.0
104,38.0848077453059,38.22786300771914,38.22786300771914,38.2278630077191,-3.5527136788005016e-14,0.0
105,38.5042797493113,38.32472031694071,38.32472031694071,38.32472031694071,-7.105427357601002e-15,0.0
106,38.4820223328627,38.1043841766802,38.1043841766802,38.104384176680185,-1.4210854715202004e-14,0.0
107,38.4527298498402,38.07633875932123,38.07633875932123,38.0763387593212,-2.8421709430404014e-14,0.0
108,38.1542165584827,38.17166639568383,38.17166639568383,38.17166639568381,-2.131628207280301e-14,0.0
109,38.1985901902926,38.13325831082927,38.13325831082927,38.1332583108293,2.8421709430404014e-14,0.0
110,38.1188734828271,38.15475444500058,38.15475444500058,38.1547544450006,2.131628207280301e-14,0.0
111,38.2557248144495,38.1147753458541,38.1147753458541,38.11477534585409,-7.105427357601002e-15,0.0
112,38.4332137202435,38.43920586951219,38.43920586951219,38.43920586951221,1.4210854715202004e-14,0.0
113,38.4293141007946,38.45389509373629,38.45389509373629,38.4538950937363,7.105427357601002e-15,0.0
114,38.0662273822845,38.374086271061294,38.374086271061294,38.37408627106132,2.131628207280301e-14,0.0
115,38.0348335063033,38.57597676179018,38.57597676179018,38.5759767617902,2.131628207280301e-14,0.0
116,38.2198058774554,38.994140447269245,38.994140447269245,38.9941404472692,-4.263256414560601e-14,0.0
117,38.2374261352932,39.16966388038293,39.16966388038293,39.1696638803829,-2.8421709430404014e-14,0.0
118,38.1127151627114,38.80622540911842,38.80622540911842,38.8062254091184,-2.131628207280301e-14,0.0
119,38.0495621635012,38.90863413744387,38.90863413744387,38.9086341374439,2.8421709430404014e-14,0.0
120,38.1278106859911,38.93924676698183,38.93924676698183,38.9392467669818,-2.8421709430404014e-14,0.0
121,38.1162821475798,38.921226270008844,38.921226270008844,38.9212262700088,-4.263256414560601e-14,0.0
122,38.4789125178322,38.92602258249424,38.92602258249424,38.9260225824942,-4.263256414560601e-14,0.0
123,38.4785913890415,38.953036099359295,38.953036099359295,38.95303609935931,1.4210854715202004e-14,0.0
124,38.0304946275172,38.91913710434464,38.91913710434464,38.91913710434459,-4.973799150320701e-14,0.0
125,38.1310749512841,38.92724126909148,38.92724126909148,38.92724126909149,7.105427357601002e-15,0.0
126,38.5205458298181,39.23011069601368,39.23011069601368,39.23011069601369,7.105427357601002e-15,0.0
127,38.135091333859,39.04730436558757,39.04730436558757,39.04730436558761,3.5527136788005016e-14,0.0
128,38.0920864421159,39.084395173839376,39.084395173839376,39.0843951738394,2.131628207280301e-14,0.0
129,38.2242256110229,39.13139197864812,39.13139197864812,39.1313919786481,-2.131628207280301e-14,0.0
130,38.1253281324086,38.23450038897976,38.23450038897976,38.23450038897981,4.263256414560601e-14,0.0
131,38.103406875727,38.09940857770664,38.09940857770664,38.099408577706605,-3.5527136788005016e-14,0.0
