BootstrapID,N,R2,RMSE,MAE,Bias
25,527,0.8775580318647294,0.27899066739822354,0.16296850361447993,-0.008146125044065677
26,520,0.8750276285278082,0.28270225753643224,0.14700737227812274,-0.002321117559948245
27,522,0.8564514035561538,0.2641634580051641,0.15208309707523682,-0.0025158378252750032
28,517,0.8936377003382813,0.28355691650557746,0.13415941625507596,-0.0050997702895272815
29,517,0.8666135152346757,0.2521718736369446,0.1315601665207589,0.007531179735055635
30,515,0.828368735093757,0.3078291693253657,0.1777772361699676,0.004018171148738427
31,518,0.8168625575928646,0.33709894161236276,0.18770410537571683,0.00012302990562644895
32,519,0.8762305940369333,0.2550120996349845,0.14851458254418914,0.00409785760883767
33,518,0.9100154394361447,0.2600278409829942,0.1367764894586878,-0.003331060791700013
34,517,0.8537714619421881,0.2788996621272683,0.16627652848596403,-0.00947203436426611
35,523,0.8694533600555385,0.2804006251379265,0.15600496998812718,0.009000108164612412
36,518,0.8821408024406586,0.272829762346292,0.16350793947101086,0.0074901092546290635
37,525,0.8597376427374996,0.32408669883042646,0.18280588445185858,-0.014724335749484072
38,516,0.850185996297936,0.2895261867109764,0.1615253979269201,0.000990315535201237
39,519,0.8748021494101547,0.27983171190813805,0.1624105021502013,-0.002306296341525561
40,515,0.8515433640027157,0.2884676920629368,0.13336772146281659,0.0035789666722814426
41,521,0.8940064477303522,0.25217511572819495,0.14964398730357262,-0.0022726594137403005
42,518,0.8681905189188509,0.29793402652772205,0.15892776674449907,0.005020773715936523
43,521,0.8755929149122825,0.27867754828233376,0.1697331444665162,-0.004362366392819601
44,519,0.8391819198502151,0.2917422228784653,0.16724763243743138,-0.0003294181547049037
45,519,0.8676022119277369,0.24532305044103644,0.13721384934814143,0.0070094872326213606
46,520,0.8067948173965978,0.31966360541539923,0.13212893222574232,0.0010802534025481727
47,522,0.8600582888543136,0.2655930603595341,0.15604895446019115,0.009711938442961332
48,521,0.9076104979636913,0.2730712802625562,0.15508556232005566,-0.003121521573852376
49,517,0.8778887925778394,0.28377387190492964,0.14861443759615628,0.0037736171732428757
50,516,0.8868987341711345,0.2576688354738551,0.1295193383679232,0.003909651351548653
51,522,0.8950424561007255,0.26529249297240043,0.1453403865773044,-0.00485769678339873
52,521,0.7812493289177221,0.3376799538860262,0.1900949584636023,0.0012291102059696685
53,520,0.7931259379164055,0.3497936137371954,0.19572648766874384,-0.006354618178708166
54,528,0.8171898794352725,0.34372863553106947,0.1992174531916268,-0.0036614989367919105
55,517,0.7823385431010502,0.3137816640723525,0.1780206768603951,0.0022583269199957356
56,518,0.8311647276078162,0.29635245417504924,0.1690169566145199,0.0023001542713282077
57,520,0.7773070240008245,0.34956028609375805,0.1944333806125395,0.004168780192925052
58,525,0.7479317052157097,0.3383549932818289,0.19668213264747725,0.009274816774134251
59,518,0.9119749492515645,0.2497160193850722,0.14033344009855261,0.0036555847707978118
60,519,0.8552756339493978,0.282362194433105,0.1618293381724975,-0.00040849105434761335
61,521,0.828843100938689,0.29201473928212796,0.1774771355351178,0.011878849206958855
62,519,0.8079696128937669,0.31287196410612644,0.18124662536054195,0.006778960963932371
63,519,0.795700136247892,0.3081806758314123,0.16484393760547064,-0.004755624727483084
64,520,0.8222250564389287,0.3294297649418315,0.18438595689192216,0.0014706755386847147
65,522,0.8227542943842555,0.336996014158927,0.1674865656451556,0.004862146923043361
66,523,0.8807465220448276,0.2698579958842643,0.13814574550874414,0.0015209401102816698
67,523,0.8927868907026385,0.24093144268054473,0.13532549232964897,0.0011230132744248947
68,517,0.7354964756960798,0.3124698141128764,0.15653705784792707,0.00435250556528693
69,522,0.7680444361484198,0.31473687923197063,0.1828738173563062,-0.0001327536709734902
70,516,0.788842735466704,0.29173858121517193,0.17859225297875025,0.01235270111562764
71,519,0.851854000876734,0.2530609873506231,0.14016556920051562,0.009975499435219642
72,520,0.8553194307596415,0.28430645570498747,0.1668669785818181,-0.0020280713258539725
73,516,0.8992013768371869,0.26454753094990213,0.15806017731565844,0.0042157860404943084
74,526,0.7811074126769474,0.33431846656155145,0.18279474587627995,-0.003415393366276865
75,521,0.8689966201650132,0.25897259292354785,0.15311478905375023,0.0052518421745785535
76,520,0.8257991192178221,0.2693634541165517,0.1574906114694387,-0.0041994762336518224
77,520,0.8570094431527835,0.3055641491231496,0.1649211475646817,-0.010133592627689416
78,523,0.7913776339946198,0.33212105317244545,0.19298240826522897,0.005529776057294019
79,526,0.8186490768717651,0.33036672403495576,0.1747060379356389,-0.0011127642423011377
80,517,0.7929562258763717,0.3018106798625655,0.15771395402447985,0.0006192267769605387
81,520,0.7328102908449121,0.32646991803785386,0.16793141672545903,0.0028655002299018267
82,517,0.8195914589838031,0.30566950213113014,0.1654793539491505,0.011705660778107424
