TargetRowID,TechnicalBaselinePrediction_C,FullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C
39,38.6823694016983,38.2088008452951,38.2088008452951,0.0
40,38.680450874998,38.2489544231654,38.2489544231654,0.0
41,38.6848483792676,39.5089330686845,39.5089330686845,0.0
42,38.3041996909664,39.4951217639449,39.4951217639449,0.0
43,38.2873610899777,39.111286241453,39.111286241453,0.0
44,38.6855195323359,39.1047251960838,39.1047251960838,0.0
45,38.2902931177969,38.5376063864246,38.5376063864246,0.0
46,38.6825232640727,38.5304701935695,38.5304701935695,0.0
47,38.2853108908844,39.2811783160895,39.2811783160895,0.0
48,38.6823124368505,39.2819835359263,39.2819835359263,0.0
49,38.6830298303755,39.1983711991726,39.1983711991726,0.0
50,38.2848692274046,39.1973243696822,39.1973243696822,0.0
51,38.2897017209764,38.8128452549059,38.8128452549059,0.0
52,38.3033631791787,38.8070570639796,38.8070570639796,0.0
53,38.3015478391024,39.0044473042166,39.0044473042166,0.0
54,38.2847243609935,39.0013495036128,39.0013495036128,0.0
55,38.3013562984999,38.9096616762515,38.9096616762515,0.0
56,38.6822720820286,38.9164508254814,38.9164508254814,0.0
57,38.2886811247959,40.0124053440288,40.0124053440288,0.0
58,38.2918990526518,39.9909727248087,39.9909727248087,0.0
59,38.6845048617599,39.7122022915638,39.7122022915638,0.0
60,38.6838310478694,39.6977285409864,39.6977285409864,0.0
61,38.3036408077619,39.6107262359031,39.6107262359031,0.0
62,38.2902017708319,39.5995162780455,39.5995162780455,0.0
63,38.2857188479878,39.216914805871,39.216914805871,0.0
64,38.289825948775,39.2142355730746,39.2142355730746,0.0
65,38.2854801266305,38.0749352581558,38.0749352581558,0.0
66,38.6815852299449,38.0794623127983,38.0794623127983,0.0
67,38.6852679276777,38.0879289857762,38.0879289857762,0.0
68,38.290593549942,38.0932222512933,38.0932222512933,0.0
69,38.2898881571497,37.9858331945856,37.9858331945856,0.0
70,38.6824357820631,37.9860404609476,37.9860404609476,0.0
71,38.3032264174757,38.1502545391521,38.1502545391521,0.0
72,38.2897069524369,38.1722291943771,38.1722291943771,0.0
73,38.6824349883253,38.0686272368435,38.0686272368435,0.0
74,38.3031704660843,38.092374901427,38.092374901427,0.0
75,38.2843053973723,38.6327164864803,38.6327164864803,0.0
76,38.2845840871389,38.6354942283068,38.6354942283068,0.0
77,38.3021252964548,38.4600348826506,38.4600348826506,0.0
78,38.6819014362461,38.4604421406106,38.4604421406106,0.0
79,38.2839646356884,38.4474927092939,38.4474927092939,0.0
80,38.6806525765541,38.4591699142593,38.4591699142593,0.0
81,38.6858869689287,38.4811491024983,38.4811491024983,0.0
82,38.3045149982442,38.4871007074524,38.4871007074524,0.0
83,38.3031117249397,38.4179178058302,38.4179178058302,0.0
84,38.6830392676841,38.388802886697,38.388802886697,0.0
85,38.6830095319616,38.3963073243534,38.3963073243534,0.0
86,38.2854592934287,38.3918095998975,38.3918095998975,0.0
87,38.2891928698812,38.8381391593456,38.8381391593456,0.0
88,38.6821483359401,38.8466202447758,38.8466202447758,0.0
89,38.6817314640911,37.9639077699036,37.9639077699036,0.0
90,38.3004769242004,37.9686168690708,37.9686168690708,0.0
91,38.2873342799964,38.8762118003732,38.8762118003732,0.0
92,38.2910651976332,38.8823858193995,38.8823858193995,0.0
93,38.6848800094952,39.1548073469204,39.1548073469204,0.0
94,38.303816660337,39.1283006501444,39.1283006501444,0.0
95,38.303147019231,38.2491108708626,38.2491108708626,0.0
96,38.6831171043152,38.2666668337456,38.2666668337456,0.0
97,38.6830012506769,37.9805596541333,37.9805596541333,0.0
98,38.6829645281721,37.9892997486095,37.9892997486095,0.0
99,38.6825660742205,37.9864764395118,37.9864764395118,0.0
100,38.2896855413741,37.9694266221517,37.9694266221517,0.0
101,38.2893985373787,38.1685499467262,38.1685499467262,0.0
102,38.2852216115897,38.1720989886614,38.1720989886614,0.0
103,38.2850542985766,37.9869187993033,37.9869187993033,0.0
104,38.6817003139144,37.9788462383833,37.9788462383833,0.0
105,38.2891158001556,38.3623468819205,38.3623468819205,0.0
106,38.3016828574503,38.3454928537057,38.3454928537057,0.0
107,38.6814597444918,38.2341147191754,38.2341147191754,0.0
108,38.2890810852976,38.2107689081151,38.2107689081151,0.0
109,38.2874947039268,38.1823889631228,38.1823889631228,0.0
110,38.3048342918704,38.1687999109723,38.1687999109723,0.0
111,38.6829755891048,38.2699311978376,38.2699311978376,0.0
112,38.682773904785,38.269163059354,38.269163059354,0.0
113,38.285225759404,38.0747324118881,38.0747324118881,0.0
114,38.3029677590682,38.237365604583,38.237365604583,0.0
115,38.2849080197492,38.0636134805332,38.0636134805332,0.0
116,38.6820041194221,38.0690028665427,38.0690028665427,0.0
117,38.2846821860319,38.9025157627412,38.9025157627412,0.0
118,38.6803560733009,38.8996222865153,38.8996222865153,0.0
119,38.6833261643252,41.45363436793,41.45363436793,0.0
120,38.3030267809273,41.3111966782936,41.3111966782936,0.0
121,38.2915083040089,38.7542744071712,38.7542744071712,0.0
122,38.304105361082,38.7353074947553,38.7353074947553,0.0
123,38.6821416449764,38.3654251928578,38.3654251928578,0.0
124,38.6826620304543,38.3914980345993,38.3914980345993,0.0
125,38.6833137027478,38.6767644137391,38.6767644137391,0.0
126,38.6829974857777,38.6747727097619,38.6747727097619,0.0
