TargetRowID,CowID,Ear,Air,Time,EarAirGap,SHAP_Ear,SHAP_Air,SHAP_Time,SHAP_CowID
201,18,28.2,5.4,0,22.8,0.0757747562423076,0.0422231819977062,0.1212335418341918,-0.0567802178456092
202,18,28.2,5.4,0,22.8,-0.2934415157522482,-0.0322635570998836,0.1708177373402506,-0.0601724664548146
203,18,30.4,5.0,11,25.4,-0.1743414620225915,0.0021235868554245,0.0479686061060225,-0.142961358633259
204,18,30.4,5.0,11,25.4,-0.0455297330569148,0.0232123273391504,0.2453903002314342,-0.1067502804021665
205,18,31.0,6.1,11,24.9,-0.1317243837871835,-0.0507451934935,-0.0122858052494324,-0.0908696642849828
206,18,31.0,6.1,11,24.9,-0.19725649815914,-0.0315491062446415,0.0697637751767926,-0.1322458991815095
207,18,31.6,6.8,12,24.8,-0.4725909808039183,-0.0673326452009845,-0.0176771872988676,-0.068449340532234
208,18,31.6,6.8,12,24.8,-0.4525181011539594,-0.0444662850912086,0.0188050719560912,-0.1261118397270261
209,18,32.0,6.9,12,25.1,0.0501856199005263,-0.0004080088125591,-0.0984578941032262,-0.0853334299185413
210,18,32.0,6.9,12,25.1,-0.0312994424384669,-0.0074009892283003,-0.033684974538751,-0.0818430578736849
211,18,30.8,8.0,13,22.8,-0.5077758187645678,-0.0747538389618007,0.0257203899455322,-0.0509366666826653
212,18,30.8,8.0,13,22.8,-0.5146795029619018,-0.0661423359260335,0.0257203898282168,-0.0492841866181817
213,18,32.7,9.3,13,23.4,-0.1276688767623485,-0.1522091068712316,-0.2933578452479335,-0.0740502634300822
214,18,32.7,9.3,13,23.4,-0.193025801633467,-0.01433300419645,0.0710394718279486,-0.0969579573127313
215,18,33.2,8.8,14,24.4,-0.0002333177957272,-0.1747508767908415,-0.4666908580036584,-0.0764393705780748
216,18,33.2,8.8,14,24.4,-0.227839976024408,-0.0001684970199728,-2.134262939298045e-05,-0.0875211453751253
217,18,33.5,11.2,15,22.3,-0.0940779777406071,-0.1157875771195406,-0.0382971210356745,-0.0946772125154756
218,18,33.5,11.2,15,22.3,-0.0855810217122083,-0.0930849349456591,-0.0303427573185738,-0.0837740459248586
219,18,32.1,9.0,19,23.1,0.3130347118004923,0.1658035863488252,0.5005845507837758,-0.0669883857914926
220,18,32.1,9.0,19,23.1,0.3001662164042512,0.1746492933951995,0.4884342794096478,-0.0660516443300001
221,18,31.2,6.0,21,25.2,-0.0035538880768323,0.0822358134803356,0.4402387828924515,-0.0564257726646495
222,18,31.2,6.0,21,25.2,0.3422265578489754,0.2138126389520908,0.3149918912860106,-0.0279464357200727
223,18,31.5,5.4,22,26.1,-0.3963748775579674,0.0709359462951653,0.488991315156151,-0.0878926225451503
224,18,31.5,5.4,22,26.1,-0.0920002269688406,0.0936435516723263,0.5001454873373756,-0.0380661390670595
225,18,31.0,5.5,23,25.5,-0.1723003586019924,-0.0556676773550434,-0.0251482650674095,-0.0376992737801587
226,18,31.0,5.5,23,25.5,-0.1549676516416257,-0.0267598897299604,0.0025879750803419,-0.1130286747376594
227,19,30.7,5.4,0,25.3,-0.1431899871338924,-0.0237542074771427,0.1054092082023891,0.0549736104649417
228,19,30.7,5.4,0,25.3,-0.147015044245359,-0.0130731272485101,0.115503097518891,0.0740200196163763
229,19,30.4,5.0,11,25.4,-0.2694994180678675,-0.0301554057672829,0.3883699656991683,0.0882019810900835
230,19,30.4,5.0,11,25.4,-0.0874836550703097,-0.0240087034014061,0.2117201049616905,0.0645871337315243
231,19,32.6,6.1,11,26.5,0.2818809472006904,0.0736358605591576,0.3009226846847236,0.0598482248883248
232,19,32.6,6.1,11,26.5,0.211187053102968,0.2183566438631328,0.5661927032157348,0.115990566469667
233,19,31.7,6.9,12,24.8,-0.0082312071869411,0.081196306893809,0.3509049852658924,0.0793548262699435
234,19,31.7,6.9,12,24.8,0.3046402605791988,0.1424151324875655,0.3054121895812003,0.1420692941148349
235,19,33.2,6.8,12,26.4,0.1190982505710736,0.1694943070112244,0.2892434749633252,0.1192737277915754
236,19,33.2,6.8,12,26.4,0.1098368302014982,0.1695254930078498,0.2890134543866172,0.1195517650497303
237,19,32.8,9.3,13,23.5,-0.0287005426153819,0.0314641586159497,0.1765186418913682,0.143099119229566
238,19,32.8,9.3,13,23.5,0.0325669545717411,-0.0380971274109077,-0.1437755701347753,0.0949574410877413
239,19,33.0,8.0,13,25.0,0.1782592353359066,0.0192446117676574,-0.0831301663446915,0.1034144062190248
240,19,33.0,8.0,13,25.0,0.1786204784387314,0.0194309884277329,-0.0832061604894847,0.1036757002591155
241,19,33.7,8.8,14,24.9,0.1708644088061094,-0.0770748357430584,-0.2256947577861095,0.0647563916715571
242,19,33.7,8.8,14,24.9,0.2208867077076094,-0.0015076894162427,-1.7773592967766183e-09,0.1099315052325919
243,19,32.4,11.2,15,21.2,0.4655490147363098,0.028249478593158,0.1741132205116582,0.1202680720328738
244,19,32.4,11.2,15,21.2,0.4520561048449245,0.0774835000163243,0.1499651063617904,0.1214443565756582
245,19,35.3,9.1,15,26.2,0.2843649365456837,0.1096492714347009,0.2038099836265351,0.1283341612447852
246,19,35.3,9.1,15,26.2,0.2669830663943155,0.1133217627349155,0.2043523843278153,0.1029818893815489
247,19,32.1,9.0,19,23.1,0.2998160736996672,0.1567324222332514,0.4591955648115343,0.0990483413414491
