SelectedSeed,RecordID,MedianSeedPredicted_C,PredictionRank,EnsembleWeight
20260523,MEAS_R000127,39.04730436558757,3,1.0
20260607,MEAS_R000128,39.084395173839376,3,1.0
20260607,MEAS_R000129,39.13139197864812,3,1.0
20260811,MEAS_R000130,38.23450038897976,3,1.0
20260811,MEAS_R000131,38.09940857770664,3,1.0
20260523,MEAS_R000132,38.125311975106186,3,1.0
20260811,MEAS_R000133,38.08073416569751,3,1.0
20260607,MEAS_R000134,38.12271842629136,3,1.0
20260523,MEAS_R000135,38.32401753785025,3,1.0
20260607,MEAS_R000136,38.19835703158087,3,1.0
20260811,MEAS_R000137,38.4117574320878,3,1.0
20260523,MEAS_R000138,38.40348456843965,3,1.0
20260607,MEAS_R000139,37.81600364140706,3,1.0
20260523,MEAS_R000140,37.61415823078586,3,1.0
20260903,MEAS_R000141,37.57004035585347,3,1.0
20260523,MEAS_R000142,37.65194033105964,3,1.0
20260523,MEAS_R000143,37.62034570034517,3,1.0
20260523,MEAS_R000144,37.580196878709,3,1.0
20260811,MEAS_R000145,37.66161835430108,3,1.0
20260701,MEAS_R000146,37.5908823678578,3,1.0
20260811,MEAS_R000147,37.55466557646991,3,1.0
20260701,MEAS_R000148,37.80268754600943,3,1.0
20260811,MEAS_R000149,37.719054006873,3,1.0
20260523,MEAS_R000150,37.7063816846527,3,1.0
20260607,MEAS_R000151,40.26257501351625,3,1.0
20260523,MEAS_R000152,40.16489906790218,3,1.0
20260903,MEAS_R000153,40.16903434317023,3,1.0
20260701,MEAS_R000154,40.187990029465695,3,1.0
20260523,MEAS_R000155,39.85413892185714,3,1.0
20260523,MEAS_R000156,40.23185814668927,3,1.0
20260607,MEAS_R000157,40.09057422856595,3,1.0
20260523,MEAS_R000158,40.216494608642655,3,1.0
20260811,MEAS_R000159,40.070018273812494,3,1.0
20260811,MEAS_R000160,40.12988398658676,3,1.0
20260811,MEAS_R000161,40.25629255445597,3,1.0
20260903,MEAS_R000162,40.28737176282005,3,1.0
20260811,MEAS_R000163,40.306765214885054,3,1.0
20260701,MEAS_R000164,38.34829996971686,3,1.0
20260523,MEAS_R000165,38.20697429992499,3,1.0
20260607,MEAS_R000166,38.11667994782451,3,1.0
20260811,MEAS_R000167,38.11657593059765,3,1.0
20260701,MEAS_R000168,38.1441347730041,3,1.0
20260811,MEAS_R000169,38.13263091588776,3,1.0
20260903,MEAS_R000170,38.12725914688117,3,1.0
20260523,MEAS_R000171,38.17575348820145,3,1.0
20260701,MEAS_R000172,38.18007928460969,3,1.0
20260903,MEAS_R000173,38.21207362768904,3,1.0
20260607,MEAS_R000174,38.28543378610041,3,1.0
20260523,MEAS_R000175,38.18401196052071,3,1.0
20260811,MEAS_R000176,39.97001328885465,3,1.0
20260523,MEAS_R000177,40.0979315357637,3,1.0
20260523,MEAS_R000178,40.24505025197847,3,1.0
20260811,MEAS_R000179,40.23115125278594,3,1.0
20260607,MEAS_R000180,40.2310464269987,3,1.0
20260903,MEAS_R000181,40.21752952181606,3,1.0
20260701,MEAS_R000182,40.13654929957802,3,1.0
20260811,MEAS_R000183,40.109798620563296,3,1.0
20260607,MEAS_R000184,40.12705085606956,3,1.0
20260523,MEAS_R000185,40.09283456282336,3,1.0
20260523,MEAS_R000186,40.15296876186318,3,1.0
20260607,MEAS_R000187,40.15675418447479,3,1.0
20260903,MEAS_R000188,40.00268270074507,3,1.0
20260701,MEAS_R000189,40.14459603841316,3,1.0
20260523,MEAS_R000190,38.80875806843834,3,1.0
20260607,MEAS_R000191,38.78721125879037,3,1.0
20260607,MEAS_R000192,38.812263217246326,3,1.0
20260523,MEAS_R000193,38.78816464952538,3,1.0
20260903,MEAS_R000194,38.75857094971322,3,1.0
20260811,MEAS_R000195,38.7669101220045,3,1.0
20260701,MEAS_R000196,38.76862085423866,3,1.0
20260523,MEAS_R000197,38.75602854433555,3,1.0
20260523,MEAS_R000198,38.78319353051002,3,1.0
20260523,MEAS_R000199,38.79232473380617,3,1.0
20260701,MEAS_R000200,38.75370817500504,3,1.0
20260523,MEAS_R000201,38.762340538286495,3,1.0
20260607,MEAS_R000202,39.382603763414345,3,1.0
20260523,MEAS_R000203,39.360184740985765,3,1.0
20260523,MEAS_R000204,39.36315615092318,3,1.0
20260607,MEAS_R000205,39.34331161377239,3,1.0
20260903,MEAS_R000206,39.371888734831295,3,1.0
20260523,MEAS_R000207,39.35796162027185,3,1.0
20260903,MEAS_R000208,39.38425430371758,3,1.0
20260607,MEAS_R000209,39.38200043947195,3,1.0
20260523,MEAS_R000210,39.40942921027592,3,1.0
20260523,MEAS_R000211,38.72658419037585,3,1.0
20260701,MEAS_R000212,38.59860480831958,3,1.0
20260607,MEAS_R000213,38.66805995105924,3,1.0
20260811,MEAS_R000214,38.59072218271349,3,1.0
20260701,MEAS_R000215,38.71228691822048,3,1.0
20260903,MEAS_R000216,38.58329894558052,3,1.0
20260811,MEAS_R000217,38.67479709955116,3,1.0
20260701,MEAS_R000218,38.59003902283588,3,1.0
20260701,MEAS_R000219,38.70992062422677,3,1.0
20260607,MEAS_R000220,38.61121467040434,3,1.0
20260523,MEAS_R000221,38.61352999185327,3,1.0
20260523,MEAS_R000222,38.5857755750245,3,1.0
20260811,MEAS_R000223,38.705646890433954,3,1.0
20260701,MEAS_R000224,38.79578096308249,3,1.0
20260523,MEAS_R000225,39.50936915328578,3,1.0
20260701,MEAS_R000226,39.43161779171739,3,1.0
20260811,MEAS_R000227,39.36696573295467,3,1.0
20260903,MEAS_R000228,39.48700013241723,3,1.0
20260701,MEAS_R000229,39.38655717460137,3,1.0
20260607,MEAS_R000230,39.50477940646744,3,1.0
20260523,MEAS_R000231,39.47907877189032,3,1.0
20260811,MEAS_R000232,39.48045560262915,3,1.0
20260607,MEAS_R000233,39.53024946825205,3,1.0
20260811,MEAS_R000234,39.53041001439894,3,1.0
20260523,MEAS_R000235,39.4757213695417,3,1.0
