Seed,RecordID,RowID,CowKey,Ear_C,Air_C,Time_hour,EarAirGap_C,SHAP_Ear_temperature_C,SHAP_Ambient_temperature_C,SHAP_Time_diurnal_C,SHAP_Cow_identity_C,TechnicalBaselinePrediction_C,ConditionalFullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,OfficialOOFPrediction_C,ConditionalVsOfficialDifference_C,RawTechnicalBaselinePrediction_C,RawFullPipelinePrediction_C,ReplayAnchorCorrection_C
20260811,MEAS_R000046,46,C029,32.2,5.5,23,26.7,-0.0048350117312156,0.0060092735992671,-0.0428067661527684,-0.0777705794322863,38.4654026640472,38.345999580330215,38.345999580330194,-2.1316282072803006e-14,38.345999580330215,0.0,38.4662290609248,38.3468259772078,-0.000826396877585
20260811,MEAS_R000047,47,C001,29.8,5.4,0,24.4,0.0039771489360317,0.0063087728130012,0.116098830782117,-0.261340486905551,38.4535746731955,38.3186189388211,38.31861893882109,-1.4210854715202004e-14,38.3186189388211,0.0,38.45193687946,38.3169811450856,0.0016377937355045
20260523,MEAS_R000048,48,C001,26.6,5.0,11,21.6,-0.0625607957994845,0.005835267215018,0.2116378834466,0.202798137478368,38.0997306973178,38.45744118965826,38.457441189658304,4.263256414560601e-14,38.45744118965826,0.0,38.1052223437613,38.4629328361018,-0.0054916464435379
20260701,MEAS_R000049,49,C001,33.1,6.1,11,27.0,-0.0163098792484734,0.010620382027008,0.151837057504076,0.134464369459192,38.0452185120768,38.32583044181863,38.3258304418186,-2.842170943040401e-14,38.32583044181863,0.0,38.0442382649389,38.3248501946807,0.0009802471379316
20260811,MEAS_R000050,50,C001,31.3,6.9,12,24.4,-0.0144903165063734,0.0185911463128262,-0.0090032060888093,0.0473187557296596,38.1209635639226,38.16337994336986,38.16337994336991,4.973799150320701e-14,38.16337994336986,0.0,38.1204583944866,38.1628747739339,0.0005051694359607
20260811,MEAS_R000051,51,C001,31.9,6.8,12,25.1,-0.0050098964743063,0.031026989198109,0.0015886712681266,0.0949089471549763,38.0908536669428,38.21336837808966,38.213368378089704,4.263256414560601e-14,38.21336837808966,0.0,38.1062247307927,38.2287394419396,-0.0153710638499405
20260523,MEAS_R000052,52,C001,31.6,9.3,13,22.3,-0.0192003452676435,-0.0026734120583077,0.003827942285642,0.002045324485507,38.1886130938869,38.172612603332055,38.1726126033321,4.263256414560601e-14,38.172612603332055,0.0,38.190166469756,38.1741659792012,-0.0015533758691432
20260607,MEAS_R000053,53,C001,33.3,8.0,13,25.3,0.0088883292166587,-0.0058771646155418,-0.0094234276325574,-0.185071032156759,38.3900342337846,38.19855093859638,38.198550938596405,2.842170943040401e-14,38.19855093859638,0.0,38.3578155111499,38.1663322159617,0.0322187226346742
20260701,MEAS_R000054,54,C001,31.8,8.8,14,23.0,0.0152231468359994,0.0184923648028334,-0.0178795380966511,0.0581951618288195,38.1305622570152,38.20459339238616,38.2045933923862,4.263256414560601e-14,38.20459339238616,0.0,38.1301262161828,38.2041573515538,0.0004360408323549
20260701,MEAS_R000055,55,C001,32.0,9.1,15,22.9,0.0038981223136923,0.0069359666459577,0.016293199878526,-0.333019540408475,38.4846499553036,38.17875770373334,38.178757703733304,-3.552713678800501e-14,38.17875770373334,0.0,38.4706093818171,38.1647171302468,0.0140405734865396
