"FoldID","RowID","Source","AbsResidual"
3,396,"S04",0.0309835287606148
4,1000,"S01",0.257122540897541
4,1001,"S01",0.374825749255841
4,1012,"S01",0.138760706236447
4,1016,"S01",0.0400019874037056
4,1021,"S01",0.265243070905363
4,1025,"S01",0.133637443466782
4,1034,"S01",0.0681695923346907
4,1035,"S01",0.89114751669694
4,1038,"S01",0.0939700376183907
4,1039,"S01",0.0958858789286196
4,1053,"S01",0.109760864424707
4,1057,"S01",0.370959122892508
4,1061,"S01",0.359901090414368
4,1067,"S01",1.39539126048854
4,1072,"S01",0.095055538653817
4,1081,"S01",0.409414028108138
4,1084,"S01",0.664230783133071
4,1089,"S01",0.0807678760524339
4,1098,"S01",0.307338300775967
4,1100,"S01",1.52542243985994
4,1109,"S01",0.12954489543359
4,1110,"S01",0.124809163775517
4,1115,"S01",0.256269516123005
4,1116,"S01",0.100092772982343
4,1126,"S01",0.883431244685703
4,1,"S03",0.0183625758310626
4,8,"S03",0.187104296925135
4,15,"S03",0.0452601828922567
4,17,"S03",0.0177789758337638
4,34,"S03",0.0391782959322455
4,35,"S03",0.0942113959435388
4,36,"S03",0.115167927769505
4,39,"S03",0.0197451884262775
4,46,"S03",0.0359615666763986
4,48,"S03",0.0195892470919858
4,59,"S03",0.0145670836068063
4,60,"S03",0.0013804879612209
4,70,"S03",0.0146261192325027
4,73,"S03",0.0309032246446534
4,80,"S03",0.0470172051463961
4,84,"S03",0.0076933492440716
4,85,"S03",0.0044810179712087
4,89,"S03",0.0374887529762801
4,93,"S03",0.0522519086381692
4,97,"S03",0.0198251643309816
4,104,"S03",0.0181847290775891
4,107,"S03",0.137420729697929
4,119,"S03",0.0710829569781026
4,123,"S03",0.140324936283186
4,124,"S03",0.106453153325859
4,128,"S03",0.0985062865208661
4,139,"S03",0.0304661616378609
4,142,"S03",0.0048243612839442
4,147,"S03",0.503905943951175
4,148,"S03",0.516894063137279
4,155,"S03",0.0224211435109609
4,163,"S03",0.001895882789114
4,165,"S03",0.0275074645571251
4,173,"S03",0.0269082385869623
4,177,"S03",0.0592367295277966
4,178,"S03",0.0722921325414347
4,187,"S03",0.0543097756271251
4,195,"S03",0.0026451308085384
4,202,"S03",0.0431744241550262
4,207,"S03",0.0466674826009949
4,213,"S03",0.071204244689575
4,215,"S03",0.0363734165485709
4,225,"S03",0.0044776243458457
4,231,"S03",0.0035110475319442
4,233,"S03",0.0151788956217444
4,241,"S03",0.0165995400884
4,248,"S03",0.22868955822549
4,253,"S03",0.0280329954698714
4,274,"S03",0.473409501270744
4,275,"S03",0.251252470213274
4,286,"S04",0.0267586223311155
4,291,"S04",0.0830019768995953
4,297,"S04",0.0058728861529715
4,300,"S04",0.0095548725853404
4,308,"S04",0.0345669747640471
4,317,"S04",0.0120252211870663
4,320,"S04",0.0082825054087933
4,326,"S04",0.0321769249282155
4,330,"S04",0.174622553789625
4,335,"S04",0.173182983577988
4,336,"S04",0.0088409523109191
4,352,"S04",0.0094658713458386
4,355,"S04",0.0254917504082285
4,360,"S04",0.0325671972267826
4,361,"S04",0.023907792756205
4,373,"S04",0.0280542043023785
4,378,"S04",0.0449729353283316
4,385,"S04",0.003969928249873
4,388,"S04",0.148459961165642
4,391,"S04",0.0103288826086682
4,393,"S04",0.0058664712591109
5,998,"S01",0.231097515885601
5,999,"S01",0.247672367513303
5,1004,"S01",0.248228713362899
5,1019,"S01",0.321063595065098
5,1020,"S01",0.171514506001088
5,1026,"S01",0.09363080001647
5,1033,"S01",0.0054427290805989
5,1042,"S01",0.383889790103232
5,1050,"S01",0.224404815182545
5,1056,"S01",0.787943863810646
5,1062,"S01",0.786030211045741
5,1073,"S01",0.77852378146013
5,1075,"S01",0.120426112218169
5,1082,"S01",0.0873970257454104
5,1088,"S01",0.380857616449226
5,1092,"S01",0.115242503358132
5,1095,"S01",0.376364831504432
5,1103,"S01",0.0660914876150045
5,1108,"S01",0.432836712991886
5,1117,"S01",0.468128212861494
5,1118,"S01",0.575754182126921
5,1122,"S01",0.120746420788301
5,9,"S03",0.389088719176797
5,16,"S03",0.0700654970812379
5,18,"S03",0.0314982880545784
5,20,"S03",0.051108003886604
5,26,"S03",0.0247031104279784
5,45,"S03",0.0565268329043746
5,51,"S03",0.023006806836868
5,58,"S03",0.0195723877327296
5,62,"S03",0.0037690408777208
5,64,"S03",0.0196278943773435
5,68,"S03",0.00668573145132
5,69,"S03",0.0093473729743465
