RecordID,Ear,Air,Actual,Predicted
MEAS_R000429,31.1,8.5,38.4,38.39987346611426
MEAS_R000430,27.7,9.9,38.1,38.12491677552956
MEAS_R000431,29.1,16.8,38.2,38.18128145068849
MEAS_R000432,30.0,19.1,38.2,38.210220081236486
MEAS_R000433,30.8,20.0,38.1,38.09956814164461
MEAS_R000434,34.0,24.4,38.1,38.120746773809216
MEAS_R000435,37.1,35.2,39.5,39.56546291095555
MEAS_R000436,35.7,31.9,40.2,40.300305770011136
MEAS_R000437,35.5,35.9,40.3,40.30226367274688
MEAS_R000438,32.7,27.0,40.4,40.3960576955321
MEAS_R000439,35.3,30.5,39.0,39.00990491053967
MEAS_R000440,34.0,31.3,39.1,39.10278553377986
MEAS_R000441,35.3,31.4,38.7,38.73059275072066
MEAS_R000442,34.6,29.2,39.1,39.10713853140445
MEAS_R000443,34.4,24.9,39.1,39.122577945626816
MEAS_R000444,34.1,22.9,39.1,39.12693036271354
MEAS_R000445,28.5,18.2,39.1,39.07915613695136
MEAS_R000446,29.6,8.2,38.0,37.98613855523151
MEAS_R000447,30.5,7.7,38.3,38.330473296683856
MEAS_R000448,33.0,3.6,38.3,38.33374011283751
MEAS_R000449,32.8,6.1,38.3,38.28043804022599
MEAS_R000450,34.3,9.9,38.6,38.62818267115412
MEAS_R000451,33.5,5.8,38.7,38.65908266595222
MEAS_R000452,30.6,2.8,38.7,38.728651828571046
MEAS_R000453,31.0,2.3,38.8,38.78411707531313
MEAS_R000454,27.6,7.0,38.7,38.69431261818576
MEAS_R000455,31.0,4.5,38.7,38.68833739370905
MEAS_R000456,31.1,4.5,38.8,38.82201720133478
MEAS_R000457,30.8,11.7,38.6,38.56930277188376
MEAS_R000458,35.0,36.3,39.0,39.02061264314517
MEAS_R000459,39.3,40.9,39.4,39.39373567726283
MEAS_R000460,30.7,2.9,38.8,38.790932997788175
MEAS_R000461,32.7,4.6,38.8,38.7852170188762
MEAS_R000462,32.5,5.4,38.8,38.75720910224448
MEAS_R000463,34.0,6.3,38.8,38.74544365842894
MEAS_R000464,33.0,8.8,38.8,38.76094636630229
MEAS_R000465,36.8,31.3,39.4,39.40938018194648
MEAS_R000466,35.4,30.8,39.5,39.52406393746455
MEAS_R000467,37.4,32.5,39.5,39.602484665449495
MEAS_R000468,34.4,29.0,39.5,39.5156963958658
MEAS_R000469,38.4,32.0,40.2,40.22236047766026
MEAS_R000470,32.8,33.3,39.6,39.59055708000686
MEAS_R000471,30.7,9.4,38.3,38.3252779911731
