Ear_surface_temperature_C,Local_ambient_temperature_C,Measured_core_temperature_C,Predicted_core_temperature_C,Raw_temperature_gap_C,Residual_measured_minus_predicted_C,Raw_absolute_error_C,Compensated_absolute_error_C,Bland_Altman_mean_C
33.9,30.9,39.5,39.62325105290765,5.600000000000001,-0.12325105290764782,5.600000000000001,0.12325105290764782,39.561625526453824
32.1,23.6,40.4,40.49618745626638,8.299999999999997,-0.09618745626637804,8.299999999999997,0.09618745626637804,40.44809372813319
37.2,35.4,39.4,39.43873538040184,2.1999999999999957,-0.03873538040183888,2.1999999999999957,0.03873538040183888,39.419367690200914
36.6,35.0,39.0,39.09309252144608,2.3999999999999986,-0.09309252144608138,2.3999999999999986,0.09309252144608138,39.04654626072304
37.4,36.0,39.5,39.85675924961696,2.1000000000000014,-0.3567592496169567,2.1000000000000014,0.3567592496169567,39.67837962480848
36.2,34.3,40.6,40.33076957618878,4.399999999999999,0.26923042381122286,4.399999999999999,0.26923042381122286,40.46538478809439
37.4,36.1,38.5,38.78614145990987,1.1000000000000014,-0.28614145990987083,1.1000000000000014,0.28614145990987083,38.643070729954935
36.4,33.4,38.9,39.60349480029495,2.5,-0.7034948002949548,2.5,0.7034948002949548,39.25174740014748
33.3,28.0,39.6,39.696370106739344,6.300000000000004,-0.09637010673934299,6.300000000000004,0.09637010673934299,39.64818505336967
31.7,26.6,38.9,39.21143250525115,7.199999999999999,-0.3114325052511546,7.199999999999999,0.3114325052511546,39.05571625262557
34.9,32.4,38.5,38.717103818237625,3.6000000000000014,-0.21710381823762503,3.6000000000000014,0.21710381823762503,38.608551909118816
35.8,33.3,39.2,39.31882030234473,3.4000000000000057,-0.11882030234473007,3.4000000000000057,0.11882030234473007,39.25941015117237
35.6,33.0,39.7,39.28409649597717,4.100000000000001,0.41590350402283605,4.100000000000001,0.41590350402283605,39.492048247988585
37.4,32.8,39.8,39.63202996753157,2.3999999999999986,0.1679700324684248,2.3999999999999986,0.1679700324684248,39.71601498376579
36.5,31.7,38.5,39.10695562053033,2.0,-0.6069556205303286,2.0,0.6069556205303286,38.803477810265164
37.4,33.3,40.0,39.60406554014168,2.6000000000000014,0.3959344598583172,2.6000000000000014,0.3959344598583172,39.80203277007084
38.9,35.9,39.7,39.72819555764762,0.8000000000000043,-0.02819555764761361,0.8000000000000043,0.02819555764761361,39.71409777882381
35.2,30.9,38.6,38.810597039353055,3.3999999999999986,-0.21059703935305407,3.3999999999999986,0.21059703935305407,38.70529851967653
34.8,30.3,38.6,38.751429784170256,3.8000000000000043,-0.15142978417025432,3.8000000000000043,0.15142978417025432,38.675714892085125
36.1,34.0,38.0,38.36888286299591,1.8999999999999986,-0.36888286299591044,1.8999999999999986,0.36888286299591044,38.18444143149796
36.7,33.9,38.2,38.70404820797651,1.5,-0.5040482079765098,1.5,0.5040482079765098,38.45202410398826
35.4,31.9,40.4,40.42292070340574,5.0,-0.022920703405738152,5.0,0.022920703405738152,40.41146035170287
38.1,35.1,39.2,38.910784802226864,1.1000000000000014,0.28921519777313875,1.1000000000000014,0.28921519777313875,39.05539240111344
32.8,22.0,38.1,38.32399629916014,5.300000000000004,-0.22399629916014163,5.300000000000004,0.22399629916014163,38.21199814958007
29.3,11.8,38.3,38.39323599312763,8.999999999999996,-0.0932359931276352,8.999999999999996,0.0932359931276352,38.346617996563815
33.3,9.3,38.5,38.47061350896372,5.200000000000003,0.029386491036277107,5.200000000000003,0.029386491036277107,38.48530675448186
33.6,8.0,38.4,38.380270879474686,4.799999999999997,0.019729120525312283,4.799999999999997,0.019729120525312283,38.39013543973734
33.9,11.2,38.3,38.28565487779542,4.399999999999999,0.014345122204574068,4.399999999999999,0.014345122204574068,38.29282743889771
36.4,9.1,38.5,38.489354126558105,2.1000000000000014,0.010645873441895048,2.1000000000000014,0.010645873441895048,38.494677063279056
33.7,5.5,38.0,38.035493782269306,4.299999999999997,-0.035493782269305996,4.299999999999997,0.035493782269305996,38.01774689113465
30.8,6.1,39.5,39.49293148460538,8.7,0.0070685153946215,8.7,0.0070685153946215,39.49646574230269
33.9,9.3,38.8,38.80807507989739,4.899999999999999,-0.008075079897395199,4.899999999999999,0.008075079897395199,38.804037539948695
36.2,8.8,39.0,39.006617971831126,2.799999999999997,-0.006617971831126113,2.799999999999997,0.006617971831126113,39.00330898591557
36.0,9.1,38.9,38.916542595202735,2.8999999999999986,-0.016542595202736265,2.8999999999999986,0.016542595202736265,38.90827129760137
