RecordID,MeasurementUnitID,CowKey,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour,SequenceInCow,DataClass,Source,SourceWeight
MEAS_R000192,MEAS_UNIT_000192,C018,30.8,38.8,4.4,9.0,6,measured,S01,1.0
MEAS_R000193,MEAS_UNIT_000193,C018,32.6,38.8,5.3,9.0,7,measured,S01,1.0
MEAS_R000194,MEAS_UNIT_000194,C018,32.9,38.8,8.8,15.0,12,measured,S01,1.0
MEAS_R000195,MEAS_UNIT_000195,C018,32.9,38.8,6.5,11.0,9,measured,S01,1.0
MEAS_R000196,MEAS_UNIT_000196,C018,32.7,38.8,11.7,11.0,10,measured,S01,1.0
MEAS_R000197,MEAS_UNIT_000197,C018,34.9,38.8,13.7,18.0,16,measured,S01,1.0
MEAS_R000198,MEAS_UNIT_000198,C018,36.0,38.8,10.6,18.0,17,measured,S01,1.0
MEAS_R000199,MEAS_UNIT_000199,C018,31.0,38.8,7.5,16.0,15,measured,S01,1.0
MEAS_R000200,MEAS_UNIT_000200,C018,32.4,38.8,7.5,0.0,1,measured,S01,1.0
MEAS_R000201,MEAS_UNIT_000201,C018,34.1,38.8,4.0,0.0,2,measured,S01,1.0
MEAS_R000202,MEAS_UNIT_000202,C025,29.2,39.4,13.6,14.0,7,measured,S01,1.0
MEAS_R000203,MEAS_UNIT_000203,C025,29.5,39.5,16.5,10.0,3,measured,S01,1.0
MEAS_R000204,MEAS_UNIT_000204,C025,31.5,39.5,16.8,14.0,8,measured,S01,1.0
MEAS_R000205,MEAS_UNIT_000205,C025,31.2,39.4,21.3,15.0,10,measured,S01,1.0
MEAS_R000206,MEAS_UNIT_000206,C025,31.9,39.4,24.5,14.0,9,measured,S01,1.0
MEAS_R000207,MEAS_UNIT_000207,C025,29.8,39.4,14.9,23.0,16,measured,S01,1.0
MEAS_R000208,MEAS_UNIT_000208,C025,31.4,39.4,14.3,23.0,17,measured,S01,1.0
MEAS_R000209,MEAS_UNIT_000209,C025,31.3,39.5,12.4,1.0,1,measured,S01,1.0
MEAS_R000210,MEAS_UNIT_000210,C025,30.0,39.4,8.4,21.0,15,measured,S01,1.0
MEAS_R000211,MEAS_UNIT_000211,C010,35.0,38.7,28.5,2.0,1,measured,S01,1.0
MEAS_R000212,MEAS_UNIT_000212,C010,37.5,38.6,32.6,14.0,3,measured,S01,1.0
MEAS_R000213,MEAS_UNIT_000213,C010,37.8,38.7,34.3,13.0,3,measured,S01,1.0
MEAS_R000214,MEAS_UNIT_000214,C010,35.5,38.6,31.2,14.0,4,measured,S01,1.0
MEAS_R000215,MEAS_UNIT_000215,C010,38.4,38.7,33.8,11.0,1,measured,S01,1.0
MEAS_R000216,MEAS_UNIT_000216,C010,37.8,38.6,33.0,12.0,1,measured,S01,1.0
MEAS_R000217,MEAS_UNIT_000217,C010,39.6,38.7,36.7,12.0,2,measured,S01,1.0
MEAS_R000218,MEAS_UNIT_000218,C010,39.0,38.6,34.2,12.0,2,measured,S01,1.0
MEAS_R000219,MEAS_UNIT_000219,C010,38.5,38.7,37.4,18.0,4,measured,S01,1.0
MEAS_R000220,MEAS_UNIT_000220,C010,38.0,38.6,32.9,20.0,4,measured,S01,1.0
MEAS_R000221,MEAS_UNIT_000221,C010,37.2,38.6,33.7,18.0,2,measured,S01,1.0
MEAS_R000222,MEAS_UNIT_000222,C010,37.3,38.6,32.3,17.0,1,measured,S01,1.0
MEAS_R000223,MEAS_UNIT_000223,C010,37.3,38.7,31.9,20.0,2,measured,S01,1.0
MEAS_R000224,MEAS_UNIT_000224,C010,38.7,38.7,32.6,22.0,2,measured,S01,1.0
MEAS_R000225,MEAS_UNIT_000225,C019,31.5,39.5,25.1,23.0,6,measured,S01,1.0
MEAS_R000226,MEAS_UNIT_000226,C019,36.8,39.5,31.0,14.0,1,measured,S01,1.0
MEAS_R000227,MEAS_UNIT_000227,C019,36.8,39.4,36.9,17.0,2,measured,S01,1.0
MEAS_R000228,MEAS_UNIT_000228,C019,38.9,39.5,41.3,14.0,2,measured,S01,1.0
MEAS_R000229,MEAS_UNIT_000229,C019,35.4,39.4,34.3,16.0,1,measured,S01,1.0
MEAS_R000230,MEAS_UNIT_000230,C019,35.7,39.5,34.8,19.0,3,measured,S01,1.0
MEAS_R000231,MEAS_UNIT_000231,C019,37.1,39.6,30.5,0.0,1,measured,S01,1.0
MEAS_R000232,MEAS_UNIT_000232,C019,34.1,39.5,25.0,0.0,1,measured,S01,1.0
MEAS_R000233,MEAS_UNIT_000233,C019,35.6,39.5,31.1,2.0,2,measured,S01,1.0
MEAS_R000234,MEAS_UNIT_000234,C019,31.6,39.5,21.1,23.0,7,measured,S01,1.0
MEAS_R000235,MEAS_UNIT_000235,C019,35.4,39.5,34.0,16.0,3,measured,S01,1.0
MEAS_R000236,MEAS_UNIT_000236,C019,36.2,39.4,36.9,11.0,1,measured,S01,1.0
MEAS_R000237,MEAS_UNIT_000237,C019,39.7,39.5,36.3,16.0,4,measured,S01,1.0
MEAS_R000238,MEAS_UNIT_000238,C005,29.7,37.8,26.0,3.0,4,measured,S01,1.0
MEAS_R000239,MEAS_UNIT_000239,C005,34.1,37.8,33.9,11.0,1,measured,S01,1.0
MEAS_R000240,MEAS_UNIT_000240,C005,35.4,37.9,31.0,12.0,1,measured,S01,1.0
MEAS_R000241,MEAS_UNIT_000241,C005,36.0,37.8,31.3,15.0,3,measured,S01,1.0
MEAS_R000242,MEAS_UNIT_000242,C005,38.4,37.9,33.6,18.0,3,measured,S01,1.0
MEAS_R000243,MEAS_UNIT_000243,C005,39.1,37.8,35.0,14.0,2,measured,S01,1.0
MEAS_R000244,MEAS_UNIT_000244,C005,34.3,38.2,33.6,21.0,2,measured,S01,1.0
MEAS_R000245,MEAS_UNIT_000245,C005,36.8,38.0,31.9,17.0,2,measured,S01,1.0
MEAS_R000246,MEAS_UNIT_000246,C005,35.4,37.8,29.3,20.0,5,measured,S01,1.0
MEAS_R000247,MEAS_UNIT_000247,C005,34.6,38.2,31.0,19.0,1,measured,S01,1.0
MEAS_R000248,MEAS_UNIT_000248,C005,33.6,37.8,31.4,21.0,6,measured,S01,1.0
MEAS_R000249,MEAS_UNIT_000249,C005,34.1,38.0,32.1,1.0,1,measured,S01,1.0
MEAS_R000250,MEAS_UNIT_000250,C005,34.0,37.8,27.5,0.0,1,measured,S01,1.0
MEAS_R000251,MEAS_UNIT_000251,C005,32.4,37.8,27.2,1.0,3,measured,S01,1.0
MEAS_R000252,MEAS_UNIT_000252,C017,34.4,40.1,30.1,1.0,1,measured,S01,1.0
MEAS_R000253,MEAS_UNIT_000253,C017,31.5,38.9,30.0,12.0,1,measured,S01,1.0
MEAS_R000254,MEAS_UNIT_000254,C017,38.1,39.4,37.8,13.0,1,measured,S01,1.0
MEAS_R000255,MEAS_UNIT_000255,C017,36.1,39.2,33.9,14.0,2,measured,S01,1.0
