RecordID,CowKey,Source,RowID,SourceRowID,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour,SourceType,EarStatus,SourceWeight,MeasurementUnitID,AcquisitionSession,OuterFold_20260523,OuterFold_20260607,OuterFold_20260701,OuterFold_20260811,OuterFold_20260903,SeqInCowSource,CowSourceN,EarLag1_C,EarLag2_C,AmbientLag1_C,EarDelta1_C,AmbientDelta1_C,TimeSin,TimeCos,ThermalLoad,EarAirGap_C,HotFlag,NightFlag
MEAS_R000074,C026,S01,74,74,33.9,38.5,8.0,13.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000074,0,2,5,2,2,1,7,17,35.0,28.1,10.4,-1.1000000000000014,-2.4000000000000004,-0.2588190451025208,-0.9659258262890683,0.0,25.9,0,0
MEAS_R000075,C026,S01,75,75,33.9,38.6,11.2,15.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000075,0,5,3,2,2,4,9,17,34.4,33.9,9.6,-0.5,1.5999999999999996,-0.7071067811865471,-0.7071067811865479,0.0,22.7,0,0
MEAS_R000076,C026,S01,76,76,30.6,39.0,9.0,19.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000076,0,2,2,1,4,2,12,17,31.4,32.5,8.2,-0.7999999999999972,0.8000000000000007,-0.9659258262890684,0.2588190451025203,0.0,21.6,0,0
MEAS_R000077,C026,S01,77,77,30.7,39.1,6.0,21.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000077,0,4,1,1,5,2,13,17,30.6,31.4,9.0,0.09999999999999787,-3.0,-0.7071067811865477,0.7071067811865474,0.0,24.7,0,1
MEAS_R000078,C026,S01,78,78,30.6,38.9,5.4,22.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000078,0,1,2,3,3,5,14,17,30.7,30.6,6.0,-0.09999999999999787,-0.5999999999999996,-0.5000000000000004,0.8660254037844384,0.0,25.200000000000003,0,1
MEAS_R000079,C026,S01,79,79,30.7,38.6,5.5,23.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000079,0,3,4,4,1,1,17,17,29.3,27.8,6.8,1.3999999999999986,-1.2999999999999998,-0.25881904510252157,0.9659258262890681,0.0,25.2,0,1
MEAS_R000080,C016,S01,80,80,28.7,38.9,5.4,0.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000080,0,2,3,4,1,5,1,17,28.7,28.7,5.4,0.0,0.0,0.0,1.0,0.0,23.299999999999997,0,1
MEAS_R000081,C016,S01,81,81,31.8,39.2,6.1,11.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000081,0,4,5,3,3,1,5,17,31.1,31.0,4.5,0.6999999999999993,1.5999999999999996,0.258819045102521,-0.9659258262890682,0.0,25.700000000000003,0,0
MEAS_R000082,C016,S01,82,82,32.2,38.0,6.9,12.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000082,0,3,4,4,2,4,6,17,31.8,31.1,6.1,0.40000000000000213,0.8000000000000007,1.2246467991473532e-16,-1.0,0.0,25.300000000000004,0,0
MEAS_R000083,C016,S01,83,83,31.9,38.1,9.3,13.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000083,0,1,4,5,2,3,8,17,30.8,32.2,11.7,1.0999999999999979,-2.3999999999999986,-0.2588190451025208,-0.9659258262890683,0.0,22.599999999999998,0,0
MEAS_R000084,C016,S01,84,84,33.0,38.3,8.8,14.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000084,0,3,1,2,4,2,9,17,31.9,30.8,9.3,1.1000000000000014,-0.5,-0.4999999999999997,-0.8660254037844388,0.0,24.2,0,0
MEAS_R000085,C016,S01,85,85,33.2,38.7,9.1,15.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000085,0,2,3,3,1,4,10,17,33.0,31.9,8.8,0.20000000000000284,0.29999999999999893,-0.7071067811865471,-0.7071067811865479,0.0,24.1,0,0
MEAS_R000086,C016,S01,86,86,32.1,39.4,9.0,19.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000086,0,5,1,1,4,2,13,17,33.5,34.3,5.8,-1.3999999999999986,3.2,-0.9659258262890684,0.2588190451025203,0.0,23.1,0,0
MEAS_R000087,C016,S01,87,87,31.1,38.6,6.0,21.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000087,0,5,2,1,5,3,15,17,31.0,32.1,2.3,0.10000000000000142,3.7,-0.7071067811865477,0.7071067811865474,0.0,25.1,0,1
MEAS_R000088,C016,S01,88,88,31.8,38.8,5.5,23.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000088,0,2,2,2,3,1,16,17,31.1,31.0,6.0,0.6999999999999993,-0.5,-0.25881904510252157,0.9659258262890681,0.0,26.3,0,1
