CowKey,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour
C003,32.9,38.5,6.4,15.0
C003,32.0,38.5,8.0,12.0
C003,34.7,38.6,10.4,16.0
C004,29.6,37.6,4.9,23.0
C004,30.9,37.7,3.0,20.0
C004,28.8,37.7,2.9,23.0
C004,27.6,37.5,7.5,13.0
C004,32.1,37.6,7.6,8.0
C005,31.1,37.8,21.0,0.0
C005,35.8,37.7,28.9,15.0
C005,36.5,37.9,34.0,16.0
C005,36.3,37.7,32.3,17.0
C006,33.4,39.5,30.1,23.0
C006,29.3,39.6,25.1,4.0
C006,34.6,39.4,33.0,11.0
C006,34.7,38.7,33.3,15.0
C008,34.2,38.2,6.0,2.0
C008,33.9,38.2,7.9,1.0
C008,30.1,38.1,7.6,9.0
C008,33.5,38.1,7.5,10.0
C008,33.2,38.2,8.4,15.0
C009,35.9,39.7,33.8,18.0
C009,34.8,40.4,27.3,22.0
C009,35.7,40.4,32.0,2.0
C009,32.6,40.5,22.0,23.0
C009,35.6,39.6,31.7,16.0
C009,36.1,39.6,32.2,16.0
C009,39.8,39.5,40.4,18.0
C009,36.9,39.7,32.0,18.0
C010,34.0,38.7,28.2,21.0
C010,35.9,38.6,32.6,19.0
C010,36.2,38.8,31.3,21.0
C010,34.5,38.7,30.1,21.0
C011,31.2,38.3,14.2,1.0
C011,29.5,38.3,11.7,21.0
C011,31.1,38.4,8.5,23.0
C011,27.7,38.1,9.9,12.0
C011,29.1,38.2,16.8,11.0
C011,30.0,38.2,19.1,10.0
C011,30.8,38.1,20.0,15.0
C011,34.0,38.1,24.4,14.0
C012,37.1,39.5,35.2,20.0
C012,35.7,40.2,31.9,19.0
C012,35.5,40.3,35.9,20.0
C012,32.7,40.4,27.0,23.0
C013,35.3,39.0,30.5,18.0
C013,34.0,39.1,31.3,22.0
C013,35.3,38.7,31.4,22.0
C013,34.6,39.1,29.2,21.0
C013,34.4,39.1,24.9,2.0
C013,34.1,39.1,22.9,22.0
C013,28.5,39.1,18.2,4.0
C014,29.6,38.0,8.2,13.0
C014,30.5,38.3,7.7,9.0
C014,33.0,38.3,3.6,10.0
C014,32.8,38.3,6.1,10.0
C016,34.3,38.6,9.9,16.0
C016,33.5,38.7,5.8,17.0
C016,30.6,38.7,2.8,0.0
C016,31.0,38.8,2.3,20.0
C016,27.6,38.7,7.0,23.0
C016,31.0,38.7,4.5,9.0
C016,31.1,38.8,4.5,9.0
C016,30.8,38.6,11.7,12.0
C017,35.0,39.0,36.3,15.0
C017,39.3,39.4,40.9,16.0
C018,30.7,38.8,2.9,3.0
C018,32.7,38.8,4.6,9.0
C018,32.5,38.8,5.4,14.0
C018,34.0,38.8,6.3,15.0
C018,33.0,38.8,8.8,15.0
C019,36.8,39.4,31.3,21.0
C019,35.4,39.5,30.8,22.0
C019,37.4,39.5,32.5,23.0
C019,34.4,39.5,29.0,20.0
C020,38.4,40.2,32.0,21.0
C020,32.8,39.6,33.3,2.0
C021,30.7,38.3,9.4,1.0
