Actual,Predicted,Method,Residual,AbsoluteError
39.4,39.294456127981945,Full TH-SHRC,0.10554387201805326,0.10554387201805326
38.7,38.20828595245844,Full TH-SHRC,0.49171404754156356,0.49171404754156356
38.7,38.20906139841658,Full TH-SHRC,0.49093860158342295,0.49093860158342295
38.2,38.571424487356886,Full TH-SHRC,-0.37142448735688305,0.37142448735688305
38.2,38.57934271937836,Full TH-SHRC,-0.3793427193783572,0.3793427193783572
38.0,38.05319152196693,Full TH-SHRC,-0.05319152196693011,0.05319152196693011
38.2,38.21060670531772,Full TH-SHRC,-0.0106067053177199,0.0106067053177199
38.5,38.3777334519212,Full TH-SHRC,0.12226654807879811,0.12226654807879811
38.1,38.09614221867787,Full TH-SHRC,0.0038577813221323254,0.0038577813221323254
39.2,39.13212624647895,Full TH-SHRC,0.06787375352105585,0.06787375352105585
38.8,38.761804959702445,Full TH-SHRC,0.03819504029755194,0.03819504029755194
38.4,38.41964637616572,Full TH-SHRC,-0.019646376165724178,0.019646376165724178
38.8,38.69754078338727,Full TH-SHRC,0.10245921661272916,0.10245921661272916
38.9,38.89984576716628,Full TH-SHRC,0.00015423283371518437,0.00015423283371518437
38.9,38.90154570204788,Full TH-SHRC,-0.0015457020478848449,0.0015457020478848449
39.9,39.844398220716926,Full TH-SHRC,0.05560177928307297,0.05560177928307297
39.4,39.37789582368849,Full TH-SHRC,0.022104176311508184,0.022104176311508184
39.3,39.29780490028531,Full TH-SHRC,0.0021950997146902296,0.0021950997146902296
38.0,38.30126124008885,Full TH-SHRC,-0.3012612400888486,0.3012612400888486
39.1,38.25977929062047,Full TH-SHRC,0.8402207093795298,0.8402207093795298
39.0,38.89069078416496,Full TH-SHRC,0.10930921583504016,0.10930921583504016
38.5,38.43576926712867,Full TH-SHRC,0.06423073287133008,0.06423073287133008
38.2,38.3935744759872,Full TH-SHRC,-0.193574475987198,0.193574475987198
39.1,39.1215139474152,Full TH-SHRC,-0.021513947415201073,0.021513947415201073
38.5,38.63022449954759,Full TH-SHRC,-0.1302244995475874,0.1302244995475874
38.5,38.43271189619757,Full TH-SHRC,0.06728810380243289,0.06728810380243289
38.5,38.42263660576408,Full TH-SHRC,0.07736339423591687,0.07736339423591687
38.0,38.05213642433911,Full TH-SHRC,-0.052136424339110476,0.052136424339110476
38.0,38.06549884231245,Full TH-SHRC,-0.06549884231245073,0.06549884231245073
38.1,38.274274451627925,Full TH-SHRC,-0.1742744516279231,0.1742744516279231
41.5,40.959036066840326,Full TH-SHRC,0.5409639331596736,0.5409639331596736
38.5,38.50742583457446,Full TH-SHRC,-0.007425834574462442,0.007425834574462442
38.0,38.11841766630347,Full TH-SHRC,-0.11841766630347195,0.11841766630347195
38.1,38.33625037111435,Full TH-SHRC,-0.23625037111435176,0.23625037111435176
38.1,38.225866440989336,Full TH-SHRC,-0.1258664409893342,0.1258664409893342
38.7,38.3294893755978,Full TH-SHRC,0.3705106244022005,0.3705106244022005
38.2,38.78028804306823,Full TH-SHRC,-0.5802880430682293,0.5802880430682293
38.1,38.11328914670532,Full TH-SHRC,-0.013289146705318444,0.013289146705318444
37.5,37.60472577294495,Full TH-SHRC,-0.10472577294495267,0.10472577294495267
38.4,38.471779294233016,Full TH-SHRC,-0.07177929423301777,0.07177929423301777
38.3,38.41691833397758,Full TH-SHRC,-0.11691833397757989,0.11691833397757989
39.4,39.32541417124621,Full TH-SHRC,0.07458582875378994,0.07458582875378994
39.0,38.969016471239385,Full TH-SHRC,0.03098352876061483,0.03098352876061483
39.1,39.37191002543787,Full TH-SHRC,-0.2719100254378688,0.2719100254378688
40.0,39.924354054424114,Full TH-SHRC,0.07564594557588578,0.07564594557588578
39.8,39.93282528933411,Full TH-SHRC,-0.13282528933411442,0.13282528933411442
38.6,38.94113970587117,Full TH-SHRC,-0.3411397058711714,0.3411397058711714
